,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
1674,JOUT,Johnson Outdoors Inc.,72.13,$721.03M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jout,
1675,JNCE,"Jounce Therapeutics, Inc.",15.43,$497.55M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/jnce,
1676,JNP,"Juniper Pharmaceuticals, Inc.",4.849,$52.58M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnp,
1677,JUNO,"Juno Therapeutics, Inc.",61.14,$6.98B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/juno,
1678,KTWO,"K2M Group Holdings, Inc.",19.4,$840.57M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo,
1679,KALU,Kaiser Aluminum Corporation,94.76,$1.6B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/kalu,
1680,KALA,"Kala Pharmaceuticals, Inc.",19.93,$488.71M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kala,
1681,KALV,"KalVista Pharmaceuticals, Inc.",9.75,$105.14M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kalv,
1682,KMDA,Kamada Ltd.,4.7,$189.2M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmda,
1683,KNDI,"Kandi Technologies Group, Inc.",7.4,$355.47M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/kndi,
1684,KPTI,Karyopharm Therapeutics Inc.,11.21,$528.9M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kpti,
1685,KAAC,Kayne Anderson Acquisition Corp.,9.67,$456.09M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kaac,
1686,KAACU,Kayne Anderson Acquisition Corp.,9.95,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kaacu,
1687,KAACW,Kayne Anderson Acquisition Corp.,0.85,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kaacw,
1688,KZIA,Kazia Therapeutics Limited,3.25,$1.57M,n/a,Capital Goods,Miscellaneous,http://www.nasdaq.com/symbol/kzia,
1689,KBLM,KBL Merger Corp. IV,9.69,$144.16M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kblm,
1690,KBLMR,KBL Merger Corp. IV,0.32,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kblmr,
1691,KBLMU,KBL Merger Corp. IV,10.25,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kblmu,
1692,KBLMW,KBL Merger Corp. IV,0.18,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/kblmw,
1693,KBSF,KBS Fashion Group Limited,5.05,$8.95M,2013,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/kbsf,
1694,KCAP,"KCAP Financial, Inc.",3.39,$126.58M,2006,n/a,n/a,http://www.nasdaq.com/symbol/kcap,
